slug,titulo,precio_web_usd,quote_only,duracion_web,categoria_sheet,estilo_viaje,gsc_clics_16m,precio_otas_interno_usd,precio_gyg_usd,precio_viator_usd,margen_pct_estimado,notas_ops,fuente_precio_web,validado_ops,fecha_snapshot
machu-picchu-humantay-lake-6d,6-Day Machu Picchu Itinerary with Humantay Lake,819,no,6D/5N,Tours in Machu Picchu,Traditional,3,,,,,,scrape JSON-LD / #prices,no,2026-09-01
machu-picchu-moderate-4d,4-Day Machu Picchu Itinerary with Cusco & Sacred Valley,612,no,4D/3N,Tours in Machu Picchu,Traditional,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
maras-moray-and-salineras-atv-tour,Maras & Moray ATV Tour Full Day from Cusco,120,no,7 hours) – in a group,Day Tours in Cusco,Adrenaline,3,,,,,,scrape JSON-LD / #prices,no,2026-09-01
maras-moray-and-the-salineras-full-day,"Maras, Moray & Salt Mines Tour from Cusco",60,no,1 day,Day Tours in Cusco,"Adrenaline, Traditional",1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
moche-route-chiclayo-and-trujillo-5d,≫ The Moche Route tour: Chiclayo and Trujillo 5 days,0.0,yes,7D/6N,,,,,,,,,scrape JSON-LD / #prices,no,2026-09-01
origins-and-mysteries-of-the-andes-16d,"16-Day Peru Itinerary with Lima, Nazca, Arequipa & Cusco",2775,no,16D/15N,Tours in Peru,Combined Travel,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
origins-of-the-incas-10d,"10-Day Peru Itinerary with Lima, Nazca, Cusco & Puno",1593,no,10D/9N,"Best Selling Packages in Peru, Tours in Peru",Combined Travel,0,,,,,,scrape JSON-LD / #prices,no,2026-09-01
palccoyo-rainbow-mountain-full-day,Palccoyo Rainbow Mountain Full-Day Tour from Cusco,90,no,1 day,Day Tours in Cusco,Trekking,3,,,,,,scrape JSON-LD / #prices,no,2026-09-01
peru-amazon-rainforest-9d,9-Day Peru Itinerary: Cultural Amazon & Machu Picchu Tour,0.0,yes,9D/8N,Tours in Peru,Combined Travel,2,,,,,,scrape JSON-LD / #prices,no,2026-09-01
peru-grand-deluxe-by-belmond-andean-explorer-10-days,10-Day Luxury Peru Tour with Belmond Andean Explorer,0.0,yes,7D/6N,,,23,,,,,,scrape JSON-LD / #prices,no,2026-09-01
peru-grand-deluxe-lima-cusco-machu-picchu-7days,"7-Day Luxury Peru Tour with Lima, Cusco & Machu Picchu",0.0,yes,7D/6N,,,6,,,,,,scrape JSON-LD / #prices,no,2026-09-01
qeswachaka-bridge-full-day,Q’eswachaka Bridge Full-Day Tour from Cusco,90,no,1 day,Day Tours in Cusco,Culture,1,,,,,,scrape JSON-LD / #prices,no,2026-09-01
rainbow-mountain-full-day,Rainbow Mountain ATV Full-Day Tour from Cusco,90,no,1 day,Day Tours in Cusco,Trekking,4,,,,,,scrape JSON-LD / #prices,no,2026-09-01
