tipo,url_wp_canonica,url_alternativa_301,titulo,seo_title,meta_description,slug,categoria_principal,tags,precio_usd,duracion,dificultad,idioma,estado_wp,drupal_path,status_migracion,notas
tour,https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/,,Salkantay SKY Trek 5 days,5-Day Salkantay Sky Camp Trek to Machu Picchu,"Hike the Salkantay Trek to Machu Picchu in 5 days with Sky Camp accommodation, breathtaking scenery, and unforgettable adventure experiences.",the-classic-salkantay-trek-5d,Alternative Inca Trail Treks,"Salkantay Treks, Machu Picchu Tours",731,5D/4N,Strenuous,en,publish,/tour/the-classic-salkantay-trek-5d/,pendiente,WP live; Drupal staging /product/9
blog,https://www.perugrandtravel.com/blog/things-to-do-in-machu-picchu/,https://www.perugrandtravel.com/blog/cusco/things-to-do-in-machu-picchu/,12 Things to Do in Machu Picchu (2026),12 Things to Do in Machu Picchu (2026 Guide),"Things to do in Machu Picchu in 2026: sunrise, Huayna Picchu hike, tickets & how to get there. Local tips from Peru Grand Travel.",things-to-do-in-machu-picchu,Cusco,cusco,,,,"2077",en,publish,/blog/things-to-do-in-machu-picchu/,optimizado-wp,Plantilla SEO post-migración
