url,slug,tipo,title,meta_description,canonical,og_title,h1,robots,http_ok
https://www.perugrandtravel.com/blog/what-to-wear-to-machu-picchu/,what-to-wear-to-machu-picchu,blog,What to Wear to Machu Picchu: 6 Top Tips for Your Peru Trip,"What to wear to Machu Picchu, based on weather and season. From layering to rain gear for the wet months. Everything you need before your visit!",https://www.perugrandtravel.com/blog/what-to-wear-to-machu-picchu/,What to Wear to Machu Picchu: 6 Top Tips for Your Peru Trip,What to Wear to Machu Picchu: Essential Clothing and Packing Tips for Your Trip to Peru,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",True
https://www.perugrandtravel.com/blog/machu-picchu-circuit-1/,machu-picchu-circuit-1,blog,Machu Picchu Circuit 1 guide: routes and travel tips,Did you know that visiting Machu Picchu is not the same for every traveler? Learn about the Machu Picchu circuit 1 option and all its routes here.,https://www.perugrandtravel.com/blog/machu-picchu-circuit-1/,Machu Picchu Circuit 1 guide: routes and travel tips,Machu Picchu Circuit 1 guide: routes and travel tips,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",True
https://www.perugrandtravel.com/blog/the-best-machu-picchu-circuits/,the-best-machu-picchu-circuits,blog,The Best Machu Picchu Circuits: All 3 Compared,"Discover the best Machu Picchu circuits, all 3 routes compared. See what each includes, the views, difficulty level and which one fits your visit best.",https://www.perugrandtravel.com/blog/the-best-machu-picchu-circuits/,The Best Machu Picchu Circuits: All 3 Compared,The Best Machu Picchu Circuits: Find Out All About Them Here,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",True
https://www.perugrandtravel.com/blog/seven-streets-of-cusco/,seven-streets-of-cusco,blog,7 Magical Secrets: Exploring the Seven Streets of Cusco in the Heart of the Andes | Travel guide,"Walk through history. Discover the mysteries of the Seven Streets of Cusco, feel the ancient Inca energy, and plan an unforgettable luxury Andean journey.",https://www.perugrandtravel.com/blog/seven-streets-of-cusco/,7 Magical Secrets: Exploring the Seven Streets of Cusco in the Heart of the Andes | Travel guide,7 Magical Secrets: Exploring the Seven Streets of Cusco in the Heart of the Andes,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",True
https://www.perugrandtravel.com/blog/siete-borreguitos-street-cusco/,siete-borreguitos-street-cusco,blog,Siete Borreguitos Street: 1 of The Colorful Cusco Streets!,"Walk Siete Borreguitos Street, Cusco&#039;s flower-lined &quot;Street of Seven Little Lambs&quot; in San Blas. Wander around the most photogenic street in Cusco!",https://www.perugrandtravel.com/blog/siete-borreguitos-street-cusco/,Siete Borreguitos Street: 1 of The Colorful Cusco Streets!,Siete Borreguitos Street: The Most Picturesque Street in Cusco!,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",True
