url,slug,tipo,title,meta_description,canonical,og_title,h1,robots,http_ok
https://www.perugrandtravel.com/tour/tour-waqrapukara-cusco/,tour-waqrapukara-cusco,tour,Tour Cusco - Waqrapukara - Cusco,"Embark on a Waqrapukara Cusco adventure, exploring stunning lakes and ancient ruins. Enjoy scenic hikes, local wildlife, and guided tours.",https://www.perugrandtravel.com/tour/tour-waqrapukara-cusco/,Tour Cusco - Waqrapukara - Cusco,Tour Waqrapukara,,True
https://www.perugrandtravel.com/tour/cusco-planetarium/,cusco-planetarium,tour,Cusco Planetarium Experience - Peru Grand Travel,"Book your excursion to the Cusco Planetarium. Learn more about Inca astronomy, how they used it for religion and agriculture.",https://www.perugrandtravel.com/tour/cusco-planetarium/,Cusco Planetarium Experience - Peru Grand Travel,Cusco Planetarium Experience,,True
https://www.perugrandtravel.com/tour/ballestas-huacachina-islands-full-day/,ballestas-huacachina-islands-full-day,tour,Ballestas &amp; Huacachina Islands with sandboard &amp; buggies-Full Day,"Discover the Ballestas &amp; Huacachina islands in one day. Explore marine wildlife, visit Ica’s wineries, and enjoy a thrilling dune buggy ride.",https://www.perugrandtravel.com/tour/ballestas-huacachina-islands-full-day/,Ballestas &amp; Huacachina Islands with sandboard &amp; buggies-Full Day,Ballestas &#038; Huacachina Islands &#8211; Full Day,,True
https://www.perugrandtravel.com/tour/sacred-valley-of-the-incas-tour/,sacred-valley-of-the-incas-tour,tour,Sacred Valley of the Incas Tour,"Dare to know the sacred valley of the incas, book here at the best price and service, include ✔️Transportacion, ✔️Guide, ✔️ Best experience.",https://www.perugrandtravel.com/tour/sacred-valley-of-the-incas-tour/,Sacred Valley of the Incas Tour,Tour Sacred Valley of the Incas,,True
https://www.perugrandtravel.com/tour/sacred-valley-machu-picchu-2d/,sacred-valley-machu-picchu-2d,tour,≫ Sacred Valley and Machu Picchu - Unforgettable Tour 2d,"Experience the magic, explore the Sacred Valley and Machu Picchu on a 2-day tour. Venture out and discover the beauty of the Andes",https://www.perugrandtravel.com/tour/sacred-valley-machu-picchu-2d/,≫ Sacred Valley and Machu Picchu - Unforgettable Tour 2d,Sacred Valley + Machu Picchu 2D,,True
